# Poly-125, dt=2us, front-radius.dat (cols: time R_front R_area R_anal err_front err_area)
# Front radius analysis for old_run
# dt = 2.00e-06 s
# Columns: time[s]  R_front[m]  R_area[m]  R_anal[m]  err_front[%]  err_area[%]  n_elems  surface_area[m2]
1.58000000e-03    1.36727987e-04    1.48401712e-04    1.41267519e-04    3.2134    5.0501   56503    2.76750037e-07
1.60000000e-03    1.37514785e-04    1.49699347e-04    1.42047459e-04    3.1910    5.3869   57495    2.81611041e-07
1.62000000e-03    1.38303818e-04    1.50938684e-04    1.42823139e-04    3.1643    5.6822   58506    2.86293168e-07
1.64000000e-03    1.39082840e-04    1.52233802e-04    1.43594629e-04    3.1420    6.0164   59575    2.91227280e-07
1.66000000e-03    1.39854903e-04    1.53563941e-04    1.44361997e-04    3.1221    6.3742   60675    2.96338696e-07
1.68000000e-03    1.40622621e-04    1.54866119e-04    1.45125306e-04    3.1026    6.7120   61773    3.01385735e-07
1.70000000e-03    1.41386474e-04    1.56158610e-04    1.45884622e-04    3.0834    7.0425   62915    3.06437376e-07
1.72000000e-03    1.42144436e-04    1.57431974e-04    1.46640007e-04    3.0657    7.3595   64041    3.11455313e-07
1.74000000e-03    1.42893656e-04    1.58727496e-04    1.47391520e-04    3.0516    7.6911   64889    3.16602392e-07
1.76000000e-03    1.43638045e-04    1.60027198e-04    1.48139220e-04    3.0385    8.0249   66027    3.21808468e-07
1.78000000e-03    1.44377172e-04    1.61296430e-04    1.48883166e-04    3.0265    8.3376   67177    3.26933464e-07
1.80000000e-03    1.45108664e-04    1.62526385e-04    1.49623413e-04    3.0174    8.6236   68449    3.31938491e-07
1.82000000e-03    1.45826928e-04    1.63784053e-04    1.50360015e-04    3.0148    8.9279   69487    3.37095607e-07
